day,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,>=90,Non noto
2020-04-01,0,0,3,29,104,455,1367,4009,4743,1145,2
2020-04-02,0,0,6,29,110,479,1448,4196,5029,1251,2
2020-04-03,1,0,6,30,114,506,1520,4412,5304,1347,1
2020-04-04,1,0,6,31,122,527,1616,4588,5528,1408,1
2020-04-05,1,0,7,34,128,549,1682,4756,5754,1469,1
2020-04-06,1,0,7,34,136,567,1724,4909,5956,1525,1
2020-04-07,1,0,7,35,141,591,1821,5103,6254,1616,2
2020-04-08,1,0,6,35,146,611,1905,5245,6496,1716,1
2020-04-09,1,0,7,36,153,638,1957,5366,6711,1784,1
2020-04-10,1,0,7,38,159,673,2020,5547,7015,1902,2
2020-04-11,1,0,7,39,164,692,2075,5669,7270,1998,1
2020-04-12,1,0,7,39,167,704,2118,5796,7446,2087,1
2020-04-13,1,0,7,39,170,712,2142,5874,7534,2161,1
2020-04-15,1,0,7,39,173,746,2242,6074,7890,2335,1
2020-04-17,2,0,7,41,180,776,2330,6333,8312,2549,1
2020-04-20,2,0,7,45,184,799,2418,6532,8750,2813,1
2020-04-22,2,0,7,47,197,842,2515,6747,9171,3056,2
2020-04-24,2,0,7,49,213,870,2612,6951,9544,3328,0
2020-04-27,2,0,8,49,223,903,2708,7191,10050,3646,0
2020-04-29,2,0,8,49,224,918,2727,7291,10241,3755,0
