,age,deaths,lethality,day,ages
0,0-9,0,0.0,2020-04-01,"(0, 9)"
1,10-19,0,0.0,2020-04-01,"(10, 19)"
2,20-29,3,0.1,2020-04-01,"(20, 29)"
3,30-39,29,0.4,2020-04-01,"(30, 39)"
4,40-49,104,0.8,2020-04-01,"(40, 49)"
5,50-59,455,2.2,2020-04-01,"(50, 59)"
6,60-69,1367,7.8,2020-04-01,"(60, 69)"
7,70-79,4009,21.3,2020-04-01,"(70, 79)"
8,80-89,4743,30.3,2020-04-01,"(80, 89)"
9,>=90,1145,27.9,2020-04-01,"(None, 90)"
10,Non noto,2,1.1,2020-04-01,"(None, None)"
0,0-9,0,0.0,2020-04-02,"(0, 9)"
1,10-19,0,0.0,2020-04-02,"(10, 19)"
2,20-29,6,0.1,2020-04-02,"(20, 29)"
3,30-39,29,0.4,2020-04-02,"(30, 39)"
4,40-49,110,0.8,2020-04-02,"(40, 49)"
5,50-59,479,2.3,2020-04-02,"(50, 59)"
6,60-69,1448,8.0,2020-04-02,"(60, 69)"
7,70-79,4196,21.8,2020-04-02,"(70, 79)"
8,80-89,5029,30.9,2020-04-02,"(80, 89)"
9,>=90,1251,28.7,2020-04-02,"(None, 90)"
10,Non noto,2,1.2,2020-04-02,"(None, None)"
0,0-9,1,0.1,2020-04-03,"(0, 9)"
1,10-19,0,0.0,2020-04-03,"(10, 19)"
2,20-29,6,0.1,2020-04-03,"(20, 29)"
3,30-39,30,0.4,2020-04-03,"(30, 39)"
4,40-49,114,0.8,2020-04-03,"(40, 49)"
5,50-59,506,2.3,2020-04-03,"(50, 59)"
6,60-69,1520,8.0,2020-04-03,"(60, 69)"
7,70-79,4412,22.0,2020-04-03,"(70, 79)"
8,80-89,5304,30.7,2020-04-03,"(80, 89)"
9,>=90,1347,28.0,2020-04-03,"(None, 90)"
10,Non noto,1,0.6,2020-04-03,"(None, None)"
0,0-9,1,0.1,2020-04-04,"(0, 9)"
1,10-19,0,0.0,2020-04-04,"(10, 19)"
2,20-29,6,0.1,2020-04-04,"(20, 29)"
3,30-39,31,0.4,2020-04-04,"(30, 39)"
4,40-49,122,0.8,2020-04-04,"(40, 49)"
5,50-59,527,2.3,2020-04-04,"(50, 59)"
6,60-69,1616,8.3,2020-04-04,"(60, 69)"
7,70-79,4588,22.2,2020-04-04,"(70, 79)"
8,80-89,5528,30.6,2020-04-04,"(80, 89)"
9,>=90,1408,27.8,2020-04-04,"(None, 90)"
10,Non noto,1,0.6,2020-04-04,"(None, None)"
0,0-9,1,0.1,2020-04-05,"(0, 9)"
1,10-19,0,0.0,2020-04-05,"(10, 19)"
2,20-29,7,0.1,2020-04-05,"(20, 29)"
3,30-39,34,0.4,2020-04-05,"(30, 39)"
4,40-49,128,0.8,2020-04-05,"(40, 49)"
5,50-59,549,2.3,2020-04-05,"(50, 59)"
6,60-69,1682,8.5,2020-04-05,"(60, 69)"
7,70-79,4756,22.6,2020-04-05,"(70, 79)"
8,80-89,5754,30.8,2020-04-05,"(80, 89)"
9,>=90,1469,27.4,2020-04-05,"(None, 90)"
10,Non noto,1,0.6,2020-04-05,"(None, None)"
0,0-9,1,0.1,2020-04-06,"(0, 9)"
1,10-19,0,0.0,2020-04-06,"(10, 19)"
2,20-29,7,0.1,2020-04-06,"(20, 29)"
3,30-39,34,0.4,2020-04-06,"(30, 39)"
4,40-49,136,0.8,2020-04-06,"(40, 49)"
5,50-59,567,2.3,2020-04-06,"(50, 59)"
6,60-69,1724,8.4,2020-04-06,"(60, 69)"
7,70-79,4909,22.7,2020-04-06,"(70, 79)"
8,80-89,5956,30.6,2020-04-06,"(80, 89)"
9,>=90,1525,26.8,2020-04-06,"(None, 90)"
10,Non noto,1,0.6,2020-04-06,"(None, None)"
0,0-9,1,0.1,2020-04-07,"(0, 9)"
1,10-19,0,0.0,2020-04-07,"(10, 19)"
2,20-29,7,0.1,2020-04-07,"(20, 29)"
3,30-39,35,0.4,2020-04-07,"(30, 39)"
4,40-49,141,0.8,2020-04-07,"(40, 49)"
5,50-59,591,2.4,2020-04-07,"(50, 59)"
6,60-69,1821,8.8,2020-04-07,"(60, 69)"
7,70-79,5103,23.2,2020-04-07,"(70, 79)"
8,80-89,6254,31.2,2020-04-07,"(80, 89)"
9,>=90,1616,27.0,2020-04-07,"(None, 90)"
10,Non noto,2,1.2,2020-04-07,"(None, None)"
0,0-9,1,0.1,2020-04-08,"(0, 9)"
1,10-19,0,0.0,2020-04-08,"(10, 19)"
2,20-29,6,0.1,2020-04-08,"(20, 29)"
3,30-39,35,0.4,2020-04-08,"(30, 39)"
4,40-49,146,0.9,2020-04-08,"(40, 49)"
5,50-59,611,2.4,2020-04-08,"(50, 59)"
6,60-69,1905,9.0,2020-04-08,"(60, 69)"
7,70-79,5245,23.4,2020-04-08,"(70, 79)"
8,80-89,6496,31.2,2020-04-08,"(80, 89)"
9,>=90,1716,26.7,2020-04-08,"(None, 90)"
10,Non noto,1,0.7,2020-04-08,"(None, None)"
0,0-9,1,0.1,2020-04-09,"(0, 9)"
1,10-19,0,0.0,2020-04-09,"(10, 19)"
2,20-29,7,0.1,2020-04-09,"(20, 29)"
3,30-39,36,0.4,2020-04-09,"(30, 39)"
4,40-49,153,0.9,2020-04-09,"(40, 49)"
5,50-59,638,2.4,2020-04-09,"(50, 59)"
6,60-69,1957,9.0,2020-04-09,"(60, 69)"
7,70-79,5366,23.4,2020-04-09,"(70, 79)"
8,80-89,6711,31.0,2020-04-09,"(80, 89)"
9,>=90,1784,26.1,2020-04-09,"(None, 90)"
10,Non noto,1,0.7,2020-04-09,"(None, None)"
0,0-9,1,0.1,2020-04-10,"(0, 9)"
1,10-19,0,0.0,2020-04-10,"(10, 19)"
2,20-29,7,0.1,2020-04-10,"(20, 29)"
3,30-39,38,0.4,2020-04-10,"(30, 39)"
4,40-49,159,0.9,2020-04-10,"(40, 49)"
5,50-59,673,2.5,2020-04-10,"(50, 59)"
6,60-69,2020,9.2,2020-04-10,"(60, 69)"
7,70-79,5547,23.8,2020-04-10,"(70, 79)"
8,80-89,7015,31.5,2020-04-10,"(80, 89)"
9,>=90,1902,26.5,2020-04-10,"(None, 90)"
10,Non noto,2,1.5,2020-04-10,"(None, None)"
0,0-9,1,0.1,2020-04-11,"(0, 9)"
1,10-19,0,0.0,2020-04-11,"(10, 19)"
2,20-29,7,0.1,2020-04-11,"(20, 29)"
3,30-39,39,0.4,2020-04-11,"(30, 39)"
4,40-49,164,0.9,2020-04-11,"(40, 49)"
5,50-59,692,2.5,2020-04-11,"(50, 59)"
6,60-69,2075,9.2,2020-04-11,"(60, 69)"
7,70-79,5669,23.8,2020-04-11,"(70, 79)"
8,80-89,7270,31.6,2020-04-11,"(80, 89)"
9,>=90,1998,26.3,2020-04-11,"(None, 90)"
10,Non noto,1,0.8,2020-04-11,"(None, None)"
0,0-9,1,0.1,2020-04-12,"(0, 9)"
1,10-19,0,0.0,2020-04-12,"(10, 19)"
2,20-29,7,0.1,2020-04-12,"(20, 29)"
3,30-39,39,0.4,2020-04-12,"(30, 39)"
4,40-49,167,0.9,2020-04-12,"(40, 49)"
5,50-59,704,2.5,2020-04-12,"(50, 59)"
6,60-69,2118,9.3,2020-04-12,"(60, 69)"
7,70-79,5796,24.0,2020-04-12,"(70, 79)"
8,80-89,7446,31.3,2020-04-12,"(80, 89)"
9,>=90,2087,26.0,2020-04-12,"(None, 90)"
10,Non noto,1,0.7,2020-04-12,"(None, None)"
0,0-9,1,0.1,2020-04-13,"(0, 9)"
1,10-19,0,0.0,2020-04-13,"(10, 19)"
2,20-29,7,0.1,2020-04-13,"(20, 29)"
3,30-39,39,0.4,2020-04-13,"(30, 39)"
4,40-49,170,0.9,2020-04-13,"(40, 49)"
5,50-59,712,2.5,2020-04-13,"(50, 59)"
6,60-69,2142,9.3,2020-04-13,"(60, 69)"
7,70-79,5874,23.8,2020-04-13,"(70, 79)"
8,80-89,7534,30.5,2020-04-13,"(80, 89)"
9,>=90,2161,25.0,2020-04-13,"(None, 90)"
10,Non noto,1,0.7,2020-04-13,"(None, None)"
0,0-9,1,0.1,2020-04-15,"(0, 9)"
1,10-19,0,0.0,2020-04-15,"(10, 19)"
2,20-29,7,0.1,2020-04-15,"(20, 29)"
3,30-39,39,0.3,2020-04-15,"(30, 39)"
4,40-49,173,0.9,2020-04-15,"(40, 49)"
5,50-59,746,2.5,2020-04-15,"(50, 59)"
6,60-69,2242,9.5,2020-04-15,"(60, 69)"
7,70-79,6074,24.0,2020-04-15,"(70, 79)"
8,80-89,7890,30.5,2020-04-15,"(80, 89)"
9,>=90,2335,25.2,2020-04-15,"(None, 90)"
10,Non noto,1,0.8,2020-04-15,"(None, None)"
0,0-9,2,0.2,2020-04-17,"(0, 9)"
1,10-19,0,0.0,2020-04-17,"(10, 19)"
2,20-29,7,0.1,2020-04-17,"(20, 29)"
3,30-39,41,0.3,2020-04-17,"(30, 39)"
4,40-49,180,0.9,2020-04-17,"(40, 49)"
5,50-59,776,2.6,2020-04-17,"(50, 59)"
6,60-69,2330,9.6,2020-04-17,"(60, 69)"
7,70-79,6333,24.3,2020-04-17,"(70, 79)"
